taxon_id	order	scientific_name	massg	diet	realm	gisfrag_high	high_hfp_change_high	high_hfp_change_medium_unsuitable	high_hfp_extent_high	high_hfp_extent_medium_unsuitable	gisfrag_medium_unsuitable	proportion_high	gestation_length	weaning_age	trans_first_last
41422	Eulipotyphla	Sorex tundrensis	7.7	Omnivore	Nearctic|Palearctic	476.5208345	0	0.201343182	23.51195524	35.42179552	4296.756443	17.53855355	21.183076	22.94993	Low-risk
41423	Eulipotyphla	Sorex ugyunak	3.6	Omnivore	Nearctic	1045.743602	0.173162188	0.049830576	2.050278232	1.432130755	694.8779351	85.23767683	21.50093	23.854565	Low-risk
41424	Eulipotyphla	Sorex unguiculatus	9.9	Omnivore	Palearctic	2613.578284	0	0	47.48380972	81.7728939	1023.411941	90.07124816	28	27.30362667	Low-risk
41425	Eulipotyphla	Sorex vagrans	5.9	Omnivore	Nearctic	1569.957564	0.039529499	0	83.05546421	88.93064804	1280.704395	62.12830857	20.13	21.83	Low-risk
41426	Eulipotyphla	Sorex ventralis	7	Omnivore	Neotropical	714.2872289	0.790484634	0.537383818	91.20124113	92.08181394	1266.184567	42.47779838	21.19564933	23.780105	Low-risk
41427	Eulipotyphla	Sorex veraepacis	7.5	Omnivore	Neotropical	828.6167815	1.157943492	0.703846257	89.10954145	93.76766345	4961.772779	18.88237272	20.976101	22.51048	Low-risk
41428	Eulipotyphla	Episoriculus caudatus	9.1	Omnivore	Indomalayan	773.6212846	1.188523289	0.444287034	88.62806524	90.46015763	3129.534752	29.73461144	22.06718	24.66922	Low-risk
41429	Eulipotyphla	Episoriculus fumidus	6.7	Omnivore	Indomalayan	645.2363879	0	0	83.48987685	88.2324099	1471.308607	36.92574099	23.07664	22.99102	Low-risk
41430	Eulipotyphla	Chodsigoa hypsibia	15.2	Omnivore	Palearctic	877.72643	0.200580669	0.154652519	93.59234515	97.24718516	5148.338821	30.07461506	21.063281	22.74391	Low-risk
41431	Eulipotyphla	Chodsigoa lamula	7.8	Omnivore	Palearctic	816.300819	0.279152392	0.146591742	93.28765385	87.24651845	1318.047862	48.94176932	21.063281	22.74391	Low-risk
41432	Eulipotyphla	Episoriculus leucops	8.2	Omnivore	Indomalayan	1682.938304	1.755415957	1.483808319	81.32253077	54.05270205	8008.288999	42.9549275	23.03686433	24.976345	Low-risk
41433	Eulipotyphla	Episoriculus macrurus	13.6	Omnivore	Indomalayan|Palearctic	498.4605851	0.690611726	0.553272533	91.84269079	93.9411262	9874.371985	9.151739202	21.063281	22.74391	Low-risk
41434	Eulipotyphla	Soriculus nigrescens	14	Omnivore	Indomalayan|Palearctic	527.0134889	2.403590173	2.072426812	68.92066631	65.81396816	6067.457315	19.15000895	25.54458333	26.8468	Low-risk
41435	Eulipotyphla	Chodsigoa parca	11.1	Omnivore	Indomalayan|Palearctic	509.5916795	0.626740232	0.12359523	95.72480967	99.09656798	3847.64753	16.60876904	22.85972933	24.484575	Low-risk
41436	Eulipotyphla	Chodsigoa smithii	14.4	Omnivore	Palearctic	1006.375387	0.732468237	0.200803213	83.78622779	92.32022429	1527.441131	45.6081827	35.300235	27.8939725	High-risk
